field,semester,subject,english_name,ects,lecturer,hours,description,syllabus_topics,exam_date,assessment_method
Informatyka,3,Statystyka dla informatykow,Statistics for Computer Scientists,4,dr Piotr Nowak,"30h wyklad, 15h cwiczenia","Statystyka opisowa, rozklady, estymacja, testy hipotez i interpretacja wynikow.","statystyka opisowa; rozklady; estymacja; testy hipotez; korelacja; regresja","21 czerwca 2026","Kolokwium 40%, projekt analityczny 30%, egzamin 30%."
Informatyka,3,Bezpieczenstwo systemow,System Security,4,dr Pawel Kaczmarek,"20h wyklad, 20h laboratorium","Podstawy kryptografii, podatnosci aplikacji, uwierzytelnianie, kopie zapasowe i reagowanie na incydenty.","kryptografia; OWASP; uwierzytelnianie; kopie zapasowe; logi; incydenty","28 czerwca 2026","Laboratoria 40%, raport bezpieczenstwa 30%, test 30%."
Informatyka,4,Projekt zespolowy,Team Project,6,dr Katarzyna Wrobel,"15h seminarium, 45h projekt","Realizacja zespolowego projektu informatycznego od wymagan do wdrozenia i prezentacji.","analiza wymagan; backlog; sprinty; CI; testy; wdrozenie; prezentacja","30 czerwca 2026","Projekt zespolowy 70%, prezentacja 20%, retrospektywa 10%."
Informatyka,4,Chmura obliczeniowa,Cloud Computing,4,dr Pawel Kaczmarek,"20h wyklad, 20h laboratorium","Modele chmury, kontenery, orkiestracja, skalowanie, monitoring i koszty uslug chmurowych.","IaaS; PaaS; SaaS; Docker; Kubernetes; monitoring; koszty","18 czerwca 2026","Laboratoria 40%, projekt wdrozeniowy 40%, test 20%."
Informatyka,4,Aplikacje mobilne,Mobile Applications,4,mgr Ewa Malinowska,"20h wyklad, 30h laboratorium","Projektowanie i implementacja aplikacji mobilnych, interfejsy uzytkownika, pamiec lokalna i komunikacja z API.","UI mobilne; nawigacja; stan aplikacji; SQLite; REST API; publikacja","24 czerwca 2026","Projekt mobilny 60%, laboratoria 20%, prezentacja 20%."
Informatyka,4,Hurtownie danych,Data Warehouses,5,dr hab. Maria Wisniewska,"30h wyklad, 30h laboratorium","Modelowanie wielowymiarowe, ETL, hurtownie danych, OLAP oraz podstawy raportowania BI.","model gwiazdy; ETL; OLAP; wymiary; fakty; jakosc danych; raporty BI","25 czerwca 2026","Projekt hurtowni 50%, laboratoria 20%, egzamin 30%."
Informatyka,4,Metody numeryczne,Numerical Methods,4,dr Piotr Nowak,"30h wyklad, 15h laboratorium","Rozwiazywanie rownan, interpolacja, calkowanie numeryczne i analiza bledow obliczeniowych.","bledy numeryczne; rownania nieliniowe; interpolacja; calkowanie; uklady rownan","22 czerwca 2026","Laboratoria 30%, kolokwium 30%, egzamin 40%."
Informatyka,5,Sztuczna inteligencja,Artificial Intelligence,5,dr hab. Maria Wisniewska,"30h wyklad, 30h laboratorium","Metody reprezentacji wiedzy, planowanie, systemy ekspertowe i zaawansowane techniki AI.","reprezentacja wiedzy; planowanie; systemy ekspertowe; wnioskowanie; etyka AI","18 stycznia 2027","Projekt AI 50%, egzamin 50%."
Informatyka,5,Uczenie maszynowe,Machine Learning,5,dr Natalia Grabowska,"30h wyklad, 30h laboratorium","Modele uczenia nadzorowanego i nienadzorowanego, walidacja, metryki i wdrazanie modeli.","regresja; klasyfikacja; klasteryzacja; walidacja; metryki; pipeline ML","22 stycznia 2027","Laboratoria 30%, projekt ML 40%, egzamin 30%."
Informatyka,5,Grafika komputerowa,Computer Graphics,4,dr Marek Lewandowski,"20h wyklad, 30h laboratorium","Podstawy grafiki 2D i 3D, transformacje, modele oswietlenia oraz renderowanie scen.","transformacje; rasteryzacja; oswietlenie; tekstury; OpenGL; renderowanie","20 stycznia 2027","Projekt graficzny 60%, test 40%."
Informatyka,5,Administracja systemami,System Administration,4,dr Pawel Kaczmarek,"20h wyklad, 30h laboratorium","Administracja Linux i Windows Server, automatyzacja, monitoring i bezpieczenstwo uslug.","Linux; Windows Server; skrypty; monitoring; kopie zapasowe; hardening","25 stycznia 2027","Laboratoria 50%, projekt administracyjny 30%, test 20%."
Informatyka,6,DevOps i CI/CD,DevOps and CI/CD,5,dr Lukasz Mazur,"20h wyklad, 40h laboratorium","Praktyki DevOps, pipeline CI/CD, kontenery, infrastruktura jako kod i monitoring aplikacji.","GitLab CI; Docker; IaC; deployment; monitoring; rollback","19 czerwca 2027","Pipeline CI/CD 50%, laboratoria 30%, prezentacja 20%."
Informatyka,6,Praktyka zawodowa,Internship,6,mgr Ewa Malinowska,"160h praktyka","Realizacja zadan zawodowych w firmie informatycznej oraz przygotowanie raportu z praktyk.","cele praktyki; zadania zawodowe; raport; opinia opiekuna; etyka pracy","30 wrzesnia 2027","Raport z praktyki 60%, opinia opiekuna 40%."
Informatyka,6,Analiza danych,Data Analysis,4,dr Natalia Grabowska,"20h wyklad, 30h laboratorium","Przetwarzanie danych, eksploracja, wizualizacja i przygotowanie raportow analitycznych.","czyszczenie danych; eksploracja; wizualizacja; pandas; raportowanie","21 czerwca 2027","Projekt analityczny 60%, laboratoria 20%, test 20%."
Informatyka,6,Projektowanie interfejsow,User Interface Design,4,mgr Ewa Malinowska,"20h wyklad, 30h projekt","Projektowanie UX/UI, prototypowanie, badania uzytkownikow i dostepnosc cyfrowa.","persony; makiety; prototypy; testy uzytecznosci; WCAG","23 czerwca 2027","Projekt UX 70%, prezentacja 30%."
Informatyka,7,Seminarium dyplomowe,Diploma Seminar,4,dr Katarzyna Wrobel,"30h seminarium","Przygotowanie koncepcji pracy inzynierskiej, przeglad literatury i plan realizacji projektu.","temat pracy; przeglad literatury; metodologia; harmonogram; prezentacja","15 stycznia 2028","Konspekt pracy 40%, prezentacja 30%, aktywnosc 30%."
Informatyka,7,Praca inzynierska,Engineering Thesis,10,dr Katarzyna Wrobel,"120h projekt dyplomowy","Realizacja pracy inzynierskiej obejmujacej projekt, implementacje, testy i dokumentacje.","analiza problemu; implementacja; testy; dokumentacja; obrona","10 lutego 2028","Praca pisemna 60%, system/prototyp 30%, obrona 10%."
Informatyka,7,Etyka i prawo w IT,Ethics and Law in IT,3,dr Marek Lewandowski,"20h wyklad, 15h cwiczenia","Prawo autorskie, ochrona danych, odpowiedzialnosc zawodowa i etyczne aspekty technologii.","RODO; licencje; prawo autorskie; odpowiedzialnosc; etyka AI","25 stycznia 2028","Esej 40%, kolokwium 40%, aktywnosc 20%."
